epoch_id,loss,accuracy,val_aer,val_acc
1,50.76126396921467,0.19708733489366384,0.4348370927318296,0.17553956834532375
2,47.23052567334718,0.19656698401859918,0.4,0.1712230215827338
3,46.190182822554185,0.1958230685710671,0.39625167336010714,0.16258992805755396
4,45.63957721816292,0.19543659648067768,0.44637681159420295,0.17266187050359713
5,45.30032077548138,0.1948802846375611,0.4528023598820059,0.17553956834532375
6,45.0679856155124,0.1945804654822366,0.4564254062038404,0.17697841726618704
7,44.89801797983653,0.19435646764509384,0.4611940298507463,0.17553956834532375
8,44.76872672077838,0.19419226033314588,0.4625954198473282,0.17553956834532375
9,44.66179797112766,0.19415629936509393,0.46379044684129433,0.16402877697841728
10,44.576236649637494,0.19405881481314594,0.4628482972136223,0.17410071942446043
