Wall time,Step,Value
1558904085.2063735,0,0.0
1558904408.0919511,1,1.936042070388794
1558904729.3723617,2,9.704009244160261e-06
1558905050.042302,3,2.6268047804478556e-05
1558905374.261164,4,5.207955837249756e-06
1558905696.1782463,5,2.1904706954956055e-06
1558906018.3290787,6,1.721978151181247e-05
1558906340.4653828,7,3.7729739688074915e-06
1558906665.938299,8,1.8775463104248047e-06
1558906987.380776,9,5.510449682333274e-06
1558907308.8574443,10,5.12152928422438e-06
1558907630.1132612,11,2.4080277398752514e-06
1558907951.9839718,12,0.00020947903976775706
1558908273.6156166,13,0.00020089000463485718
1558908595.5697188,14,1.1190771829205914e-06
1558908920.384558,15,1.180172034764837e-06
1558909242.5764356,16,1.6614794731140137e-06
1558909564.3889854,17,4.51803225587355e-06
1558909886.7614462,18,5.862116722710198e-06
1558910208.696678,19,6.32554292678833e-06
